IdCliente;Fecha Nacimiento;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Crédito Hipotecario;Tiene Crédito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
37036;22/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;26965000;No;No;Celular;0;Si
10780;4/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;25824000;No;No;Emailing;0;No
32821;20/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;23663000;Si;No;Celular;2;No
34864;21/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;23663000;Si;No;Celular;0;No
38979;23/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;15261000;No;No;Celular;0;No
14311;7/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;10889000;No;No;Celular;0;No
5369;29/3/1958;Trabajador Dependiente;Soltero;Enseñanza Básica;No;10183000;No;No;Emailing;0;No
14536;8/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;8725000;No;No;Celular;0;No
45046;2/5/1980;Trabajador Dependiente;Soltero;Enseñanza Básica;No;8278000;No;No;Celular;0;Si
18772;11/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;8037000;No;No;Celular;0;No
2208;25/3/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;7724000;No;No;Celular;0;Si
20562;13/4/1961;Trabajador Dependiente;Soltero;Enseñanza Básica;No;7441000;No;No;Celular;0;Si
12237;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;7351000;No;No;Celular;0;No
45147;3/5/1981;Trabajador Dependiente;Soltero;Enseñanza Básica;No;6991000;No;No;Celular;0;Si
2635;26/3/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;6570000;No;No;Celular;0;No
3726;27/3/1956;Trabajador Independiente;Soltero;Enseñanza Básica;No;6056000;Si;No;Celular;0;No
5824;30/3/1959;Trabajador Dependiente;Soltero;Enseñanza Básica;No;6020000;No;No;Emailing;0;No
19259;12/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;5907000;Si;No;Celular;5;No
19862;12/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;5907000;Si;No;Celular;0;No
18337;11/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;5774000;Si;No;Emailing;0;No
39362;23/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;5746000;Si;No;Fono Particular;0;No
18631;11/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;5717000;No;No;Celular;0;No
21060;13/4/1962;Trabajador Dependiente;Soltero;Enseñanza Básica;No;5613000;Si;No;Emailing;0;No
2335;25/3/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;4639000;No;No;Emailing;0;No
23265;14/4/1962;Trabajador Dependiente;Soltero;Enseñanza Básica;No;4453000;Si;No;Celular;0;No
32618;20/4/1969;Trabajador Independiente;Soltero;Enseñanza Básica;No;4443000;No;No;Fono Particular;0;No
29855;18/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;4378000;No;No;Emailing;0;No
15890;9/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;4232000;No;No;Emailing;0;No
27983;17/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;4148000;No;No;Celular;0;No
3378;27/3/1956;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3777000;Si;No;Fono Particular;0;No
24941;16/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3777000;No;No;Celular;0;No
13054;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3727000;No;No;Emailing;0;Si
24711;15/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3715000;Si;No;Fono Particular;17;No
26106;16/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3715000;Si;No;Emailing;0;No
37200;22/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3652000;No;No;Celular;0;No
31952;19/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3648000;Si;No;Celular;0;No
44963;1/5/1979;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3472000;No;No;Celular;4;Si
45006;1/5/1979;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3472000;No;No;Celular;3;Si
45094;2/5/1980;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3472000;No;No;Celular;0;No
39558;23/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3362000;No;No;Celular;0;No
7268;31/3/1960;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3275000;No;No;Emailing;0;No
12344;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3232000;No;No;Fono Particular;3;No
12791;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3232000;No;No;Fono Particular;2;No
14008;7/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3232000;No;No;Fono Particular;0;No
39095;23/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3185000;Si;No;Celular;0;No
12316;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3033000;No;No;Celular;0;Si
30509;19/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;3004000;No;No;Emailing;0;No
23318;14/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2805000;No;No;Emailing;0;No
12235;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2785000;Si;No;Celular;0;Si
19228;12/4/1962;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2579000;No;No;Celular;1;No
19351;12/4/1962;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2579000;No;No;Celular;0;No
27208;17/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2562000;No;No;Emailing;0;No
8718;2/4/1962;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2499000;Si;No;Celular;0;No
577;15/3/1954;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2493000;No;No;Celular;0;No
29866;18/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2355000;Si;No;Emailing;0;No
14973;8/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2249000;Si;No;Celular;0;No
40015;24/4/1979;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2196000;No;No;Celular;0;Si
20404;12/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2171000;No;No;Fono Particular;0;No
13464;7/4/1967;Trabajador Independiente;Soltero;Enseñanza Básica;No;2032000;No;No;Celular;0;No
37022;22/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2017000;Si;No;Celular;5;No
39298;23/4/1977;Trabajador Dependiente;Soltero;Enseñanza Básica;No;2017000;Si;No;Celular;0;No
21770;13/4/1960;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1970000;No;No;Celular;0;No
4606;28/3/1957;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1947000;No;No;Emailing;0;Si
15266;8/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1893000;Si;No;Emailing;0;Si
15508;8/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1811000;No;No;Fono Particular;0;No
34214;21/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1806000;No;Si;Celular;0;No
27550;17/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1729000;No;No;Celular;0;No
26495;16/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1648000;Si;No;Emailing;0;No
12057;5/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1630000;No;No;Celular;0;No
45054;2/5/1984;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1596000;No;No;Celular;2;No
45087;2/5/1984;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1596000;No;No;Celular;0;No
38885;23/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1527000;No;No;Fono Particular;0;No
11761;5/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1499000;Si;No;Celular;0;No
42680;26/4/1980;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1459000;Si;No;Fono Particular;0;No
34846;21/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1429000;No;No;Celular;0;No
40185;24/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1374000;No;No;Celular;4;Si
40466;24/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1374000;No;No;Celular;7;Si
41521;25/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1374000;No;No;Celular;0;Si
9915;3/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1367000;No;No;Fono Particular;0;No
17608;10/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1354000;No;No;Emailing;0;No
22717;14/4/1961;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1340000;No;No;Emailing;0;No
16991;10/4/1970;Trabajador Independiente;Soltero;Enseñanza Básica;No;1337000;Si;Si;Celular;0;No
13483;7/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1328000;No;No;Celular;0;No
695;18/3/1957;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1323000;No;No;Fono Particular;0;No
44515;29/4/1979;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1283000;No;No;Celular;0;No
33258;20/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1255000;No;No;Celular;0;No
45199;4/5/1984;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1247000;No;No;Celular;0;No
26234;16/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1241000;No;No;Emailing;0;No
7056;31/3/1960;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1238000;No;No;Emailing;0;No
44671;29/4/1982;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1235000;No;No;Celular;6;Si
44776;30/4/1983;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1235000;No;No;Celular;3;No
44807;30/4/1983;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1235000;No;No;Celular;0;No
43408;27/4/1975;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1213000;No;No;Celular;0;No
26501;17/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1201000;Si;No;Emailing;0;No
13454;7/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1190000;No;No;Emailing;0;No
19045;11/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1179000;Si;No;Celular;4;No
20233;12/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1179000;Si;No;Emailing;0;No
9945;3/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1158000;Si;No;Celular;3;No
10877;4/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1158000;Si;No;Emailing;0;No
4867;28/3/1957;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1110000;No;No;Celular;0;Si
33376;20/4/1975;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1107000;Si;No;Celular;0;Si
25854;16/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1088000;No;No;Emailing;0;No
42476;26/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1088000;No;No;Celular;0;No
11568;5/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1078000;No;No;Emailing;0;No
16016;9/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1059000;No;No;Emailing;0;Si
40587;24/4/1978;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1027000;No;No;Celular;0;No
44832;30/4/1981;Trabajador Dependiente;Soltero;Enseñanza Básica;No;1003000;No;No;Fono Particular;0;Si
3097;26/3/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;999000;No;No;Celular;0;No
42258;26/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;979000;Si;No;Celular;1;No
14920;8/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;959000;Si;No;Fono Particular;0;No
25530;16/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;912000;Si;No;Celular;22;Si
35738;21/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;911000;No;Si;Celular;0;No
1122;23/3/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;893000;No;No;Fono Particular;0;No
39442;23/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;868000;No;No;Celular;0;No
11513;5/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;848000;Si;No;Emailing;0;No
21688;13/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;846000;Si;No;Celular;0;No
45145;3/5/1982;Trabajador Dependiente;Soltero;Enseñanza Básica;No;825000;No;No;Emailing;0;No
4751;28/3/1957;Trabajador Dependiente;Soltero;Enseñanza Básica;No;801000;No;No;Celular;0;No
